"longitude","laitude","rescore"
128.875,27.825,-0.214807475857198
128.975,27.825,-0.223362162690464
129.025,27.825,-0.233331153316572
-176.025,27.775,-0.123934969088116
-175.975,27.775,-0.121166941199867
-175.925,27.775,-0.115978145949381
-175.875,27.775,-0.113662453485614
-175.825,27.775,-0.104713517037339
-175.775,27.775,-0.101118016486862
-110.925,27.775,-0.110528093550941
33.475,27.775,-0.0462337324446667
33.525,27.775,-0.055466570765392
33.575,27.775,-0.0720583685866051
33.625,27.775,-0.095967742606124
33.675,27.775,-0.11891807074203
33.725,27.775,-0.152304176938627
33.875,27.775,-0.176353108243959
33.925,27.775,-0.168586017322569
33.975,27.775,-0.157333449691459
34.025,27.775,-0.156120208094673
34.075,27.775,-0.157704412879929
34.125,27.775,-0.16302359805467
34.175,27.775,-0.169401640096512
34.225,27.775,-0.157795649937286
34.275,27.775,-0.15032053121348
35.125,27.775,-0.15701478081925
35.175,27.775,-0.158017723080268
35.225,27.775,-0.160923403133101
35.275,27.775,-0.159984771169916
35.375,27.775,-0.15375757439396
35.425,27.775,-0.144297724751302
50.175,27.775,-0.10524355637867
128.875,27.775,-0.21102788953614
129.025,27.775,-0.245506628849625
129.075,27.775,-0.253860190136934
33.525,27.725,-0.0428748027410482
33.575,27.725,-0.055724281630925
33.625,27.725,-0.0791667933618791
33.675,27.725,-0.101272094357308
33.725,27.725,-0.137375340752498
33.775,27.725,-0.164890436588322
34.075,27.725,-0.146118826917039
34.125,27.725,-0.154523810405452
34.175,27.725,-0.160008277153662
34.225,27.725,-0.154922905082165
34.275,27.725,-0.152304630455673
35.275,27.725,-0.147719365496432
35.425,27.725,-0.142084741976844
49.825,27.725,-0.107822960127491
52.125,27.725,0.0811861457296692
121.125,27.725,-0.257463030776472
128.875,27.725,-0.210503322429594
129.025,27.725,-0.251024795997747
33.525,27.675,-0.0307475852422392
33.575,27.675,-0.0444828714670914
33.625,27.675,-0.0684929760710506
33.675,27.675,-0.0900955657880936
33.725,27.675,-0.119881192333196
33.775,27.675,-0.156184724352013
33.825,27.675,-0.179005207119052
35.225,27.675,-0.141355492771945
35.275,27.675,-0.141055967026093
35.325,27.675,-0.142439589561149
35.375,27.675,-0.140347256635458
35.425,27.675,-0.142001900573658
35.475,27.675,-0.143214377950807
49.025,27.675,-0.147827642105965
49.075,27.675,-0.154352004602027
49.825,27.675,-0.0950646969061117
52.175,27.675,0.0775862616921189
52.225,27.675,0.0736094131122238
52.275,27.675,0.0733549109836191
52.325,27.675,0.0734234269732935
120.925,27.675,-0.24013811973757
120.975,27.675,-0.239694089756891
121.025,27.675,-0.245765662771965
121.075,27.675,-0.254716099081493
121.175,27.675,-0.281461784958145
121.225,27.675,-0.283909953678548
128.625,27.675,-0.212300791553464
128.875,27.675,-0.21858764018494
128.925,27.675,-0.223179665183229
128.975,27.675,-0.235718348676033
129.025,27.675,-0.248591834074605
33.525,27.625,-0.033658851206751
33.575,27.625,-0.0475204468317531
33.625,27.625,-0.0693243870929285
33.675,27.625,-0.0877516545856777
33.725,27.625,-0.110992375546887
33.775,27.625,-0.148653347644207
33.825,27.625,-0.178504017776301
33.875,27.625,-0.191919752813909
35.275,27.625,-0.140580947845207
35.325,27.625,-0.139198450034861
35.375,27.625,-0.139298481348539
35.425,27.625,-0.138672149721872
35.475,27.625,-0.142413432388825
49.825,27.625,-0.0891390374168511
52.325,27.625,0.0756417667315926
52.375,27.625,0.0766431456196297
52.425,27.625,0.0775106740447256
120.975,27.625,-0.26800635770604
121.025,27.625,-0.272946240827666
121.075,27.625,-0.275296856790903
121.175,27.625,-0.280755256076862
121.225,27.625,-0.285608182312021
128.925,27.625,-0.239662814471475
128.975,27.625,-0.243867095192843
33.525,27.575,-0.0452002481909345
33.575,27.575,-0.0556602608921235
33.625,27.575,-0.0765120224374932
33.675,27.575,-0.0931969990804439
33.725,27.575,-0.115663525763321
33.775,27.575,-0.137876474680826
33.825,27.575,-0.163581077657233
33.875,27.575,-0.17903190966106
33.925,27.575,-0.176895891879651
35.275,27.575,-0.144826980739445
35.325,27.575,-0.141185469087879
35.375,27.575,-0.139290825590369
35.425,27.575,-0.135819069643062
35.475,27.575,-0.135109240543521
35.525,27.575,-0.133265284725526
49.075,27.575,-0.121100905124166
52.475,27.575,0.0896390094002483
52.525,27.575,0.0916830398787032
-79.975,27.525,-0.0236757865164093
33.575,27.525,-0.0692132914233673
33.625,27.525,-0.0856882468524529
33.725,27.525,-0.125198707167084
33.775,27.525,-0.139318836191722
33.825,27.525,-0.153842561602395
33.875,27.525,-0.166654506364466
33.925,27.525,-0.166370396517829
33.975,27.525,-0.16516292282752
35.425,27.525,-0.135794585326555
35.475,27.525,-0.129286489454354
35.525,27.525,-0.125663552724802
49.075,27.525,-0.109538113409884
52.525,27.525,0.0946071512261628
33.625,27.475,-0.106283517659141
33.675,27.475,-0.126149400383831
33.725,27.475,-0.135234628213254
33.775,27.475,-0.139614445106618
33.825,27.475,-0.147236688151626
33.925,27.475,-0.157025950159303
33.975,27.475,-0.168274756258235
34.025,27.475,-0.174769984503126
35.575,27.475,-0.113872559994028
52.575,27.475,0.0964439172963682
52.625,27.475,0.0983145124688391
33.625,27.425,-0.124825081073455
33.675,27.425,-0.137527618834047
33.725,27.425,-0.145538596219005
33.775,27.425,-0.147445270749556
33.825,27.425,-0.153930111598309
33.875,27.425,-0.153827703521474
34.025,27.425,-0.186238035368836
35.525,27.425,-0.115751132399816
35.575,27.425,-0.110151900098709
49.325,27.425,-0.0934906070319254
52.575,27.425,0.0977257792541137
52.625,27.425,0.098740284775715
121.025,27.425,-0.291058816629194
121.075,27.425,-0.281718170774706
128.625,27.425,-0.22185057439344
128.675,27.425,-0.22379433272127
-80.275,27.375,0.0929786568809231
-78.625,27.375,0.0729881543981628
-78.575,27.375,0.0711316215620175
33.675,27.375,-0.140853839119437
33.725,27.375,-0.148271672487057
33.775,27.375,-0.154901531542043
33.825,27.375,-0.1491480830341
33.875,27.375,-0.149618131051874
33.925,27.375,-0.166560313092049
35.625,27.375,-0.0944574508686857
49.325,27.375,-0.0904758205080052
49.375,27.375,-0.0954600522131936
49.475,27.375,-0.0942035426572163
49.525,27.375,-0.0866499841728995
49.575,27.375,-0.0787479075050572
49.825,27.375,-0.0691371313081637
49.875,27.375,-0.0687043860896151
49.925,27.375,-0.076889183712224
52.575,27.375,0.0962413248640407
52.625,27.375,0.0964387648168452
120.625,27.375,-0.353996251135603
120.675,27.375,-0.35227683079313
128.525,27.375,-0.214165546855785
128.675,27.375,-0.215588608003576
-78.675,27.325,0.0579495389586486
-78.625,27.325,0.0611848682670314
-78.575,27.325,0.0641827914415954
-78.525,27.325,0.065983476659321
-78.475,27.325,0.0662842015228352
-78.425,27.325,0.0687795677091757
33.675,27.325,-0.145107266534136
33.725,27.325,-0.142649798087418
33.775,27.325,-0.143848130623445
33.825,27.325,-0.140386911279641
33.875,27.325,-0.143901682854991
33.925,27.325,-0.162878453018982
33.975,27.325,-0.181645377072745
35.625,27.325,-0.0915006023990906
35.675,27.325,-0.0854814100484746
35.725,27.325,-0.0834787962888376
49.325,27.325,-0.0849823981988649
49.425,27.325,-0.0973469655777818
49.475,27.325,-0.0933529136881241
49.525,27.325,-0.0886182624601315
52.625,27.325,0.0958629975928798
120.625,27.325,-0.338158495587713
